index,complication
1,"Blutungen im Operationsgebiet"
2,"Unzureichende sterile Umgebung"
3,"Ungenügende Sicht auf das Operationsfeld"
4,"Ausfall des Elektrokautergeräts"
5,"Allergische Reaktion auf Anästhetika"
6,"Versehentliche Verletzung eines Blutgefäßes"
7,"Versehentliche Verletzung eines Nervs"
8,"Ausfall der Raumbeleuchtung"
9,"Fehlfunktion des Beatmungsgeräts"
10,"Verwechslung der chirurgischen Instrumente"
11,"Fehlende oder unvollständige Patientendaten"
12,"Eintreten einer Herzrhythmusstörung"
13,"Nicht gereinigtes Operationswerkzeug"
14,"Mangelnde Verfügbarkeit von Blutreserven"
15,"Inkompatibilität oder Versagen von Implantaten"
16,"Fehlkommunikation im OP-Team"
17,"Technische Probleme mit der Patientenüberwachung"
18,"Versehentliches Entfernen eines falschen Gewebes"
19,"Anaphylaktische Reaktion auf Medikamente"
20,"Stromausfall ohne Notstromversorgung"
21,"Probleme bei der Platzierung des Portkatheters"
22,"Verwechslungsgefahr durch ähnliche Medikamentenverpackungen"
23,"Unzureichende Patientenaufklärung vor der OP"
24,"Unvorhergesehene anatomische Anomalien"
25,"Überraschender Blutdruckabfall des Patienten"
26,"Herzstillstand während der Operation"
27,"Untersuchungsergebnisse fehlen oder sind unzutreffend"
28,"Instrumente werden im Körper vergessen"
29,"Versehentliches Einführen von Luft in den Blutkreislauf"
30,"Entzündungsreaktion im Operationsgebiet"
31,"Unzureichende Desinfektion der Haut vor Inzision"
32,"Falsche Medikamentendosierung"
33,"Verwechslungsgefahr bei Patientenidentifikation"
34,"Unzureichende OP-Vorbereitung seitens des Teams"
35,"Patient erwacht während der Operation"
36,"Fehlbildung des eingesetzten Katheters"
37,"Zeitanmaßungen werden überschritten"
38,"Probleme bei der Naht der Wunde"
39,"Überhitzung der Operationslampen"
40,"Ungenügendes Monitoring der Vitalfunktionen"
41,"Fehlende Reaktion auf Narkosemittel"
42,"Verbrennungen durch Elektrokauter"
43,"Trombo-embolische Komplikationen"
44,"Unzureichendes Anästhesieprotokoll"
45,"Unruhe oder Bewegung des Patienten"
46,"Probleme mit der Elektrischen Leitfähigkeit der Instrumente"
47,"Instrumente fallen zu Boden und müssen ersetzt werden"
48,"Verwendung von abgelaufenen oder unsterilen Materialien"
49,"Fehlende Rücksprachemöglichkeit mit Spezialisten"
50,"Komplikationen bei der Lagerung des Patienten"
51,"Einfluss von Medikamenten auf bereits bestehende Erkrankungen"
52,"Mangelnde Verfügbarkeit spezieller OP-Instrumente"
53,"Unklarheiten in der Operationsplanung"
54,"Stressreaktionen des OP-Teams"
55,"Fehlender Zugang zu Röntgen- oder Bildgebungsgeräten"
56,"Defekte an der chirurgischen Ausrüstung"
57,"Fehlendes Verständnis der OP-Prozedur im Team"
58,"Atemwegskomplikationen bei Intubation"
59,"Fehlfunktion von Blutsperresystemen"
60,"Unzureichende oder falsche Lagerung der Präparate"
61,"Sprachbarrieren im OP-Team"
62,"Missverständnisse in der Aufgabenverteilung"
63,"Fehlende Dokumentation während der OP"
64,"Unterbrechung durch Notfälle in anderen OP-Räumen"
65,"Unzureichende Blutgerinnung beim Patienten"
66,"Fehlende sterile Schutzkleidung"
67,"Probleme mit der Absaugvorrichtung"
68,"Falsche Angabe der Eingriffsdauer"
69,"Unzureichende Erkennung von Komplikationen"
70,"Überlastung des OP-Personals"
71,"Fehlende Kontrolle über OP-Prozess"
72,"Unzureichende postoperative Anweisungen"
73,"Probleme mit der Narkosetiefe"
74,"Hautreizungen durch Desinfektionsmittel"
75,"Mangelnde Vorbereitung auf seltene Komplikationen"
76,"Ausfall von Kommunikationssystemen"
77,"Unzureichende Dokumentation der Instrumentenzählung"
78,"Versehentliches Zerschneiden benachbarter Gewebe"
79,"Unangemessene Temperatur im OP-Saal"
80,"Mangelhafte Handhygiene im OP-Personal"
81,"Probleme bei der Mobilisation des Patienten nach der OP"
82,"Unzureichende Überwachung der Narkosewirkung"
83,"Unvorhergesehene Medikamenteninteraktion"
84,"Verzögerung durch organisatorische Probleme"
85,"Unzureichende Anzahl von Personal im Notfall"
86,"Nichtfunktionieren der Sauerstoffversorgung"
87,"Versehentliches Auslösen eines Feueralarms"
88,"Unzureichende Einhaltung von Sicherheitsstandards"
89,"Verzögerte Reaktion auf Notfallprotokolle"
90,"Falsche Positionierung des Operationsdesinfektionsmitteleinteilers"
91,"Unwissenheit über spezialisierte Kathetertechniken"
92,"Mangelnde postoperative Schmerzbehandlung"
93,"Versehentliche Beschädigung des Portkatheters"
94,"Unachtsamkeit bei der Wundverschlusskontrolle"
95,"Unzureichende Anweisungen für postoperative Pflegekräfte"
96,"Fehlende Koordination bei der Übergabe an den Erholungsraum"
97,"Viren oder Bakterien im Operationsraum"
98,"Gebrochene Nadeln im Operationsfeld"
99,"Überlastung der Luftfiltersysteme"
100,"Nichtbeachtung von Allergien des Patienten"